ID ТУРУ,НАЗВА ТУРУ,КІЛЬКІСТЬ ЗУПИНОК ПО МАРШРУТУ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,ДНІ,ІНТЕНСИВНІСТЬ ПОДОРОЖІ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК,ЦІННІСТЬ МАРШРУТУ,ЕФЕКТИВНІСТЬ МАРШРУТУ,ПЕРЕВАНТАЖЕНИЙ МАРШРУТ,ПОРОЖНІЙ МАРШРУТ
EUR-1,Адріатичне море Італії (3 ночі),5,3,2,2,6,"0,50","0,33","0,33","0,40","2,30","0,38",0,0
EUR-2,Вікенд у Амстердамі,8,5,4,1,6,"0,83","0,17","0,67","0,13","3,70","0,62",0,0
EUR-3,Балтійський круїз БЕЗ НІЧНИХ,5,5,4,0,6,"0,83","0,00","0,67","0,00","3,50","0,58",0,0
EUR-4,Венеція без нічних,4,2,3,0,5,"0,40","0,00","0,60","0,00","2,10","0,42",0,0
EUR-5,Вікенд у Відні + Зальцбург,6,5,4,0,5,"1,00","0,00","0,80","0,00","3,50","0,70",0,0
EUR-6,Будапешт – Відень,2,2,2,0,4,"0,50","0,00","0,50","0,00","1,60","0,40",0,0
EUR-7,Вікенд у Трансильванії + Трансфагараш,2,1,1,1,4,"0,25","0,25","0,25","0,50","1,00","0,25",0,0
EUR-8,Вікенд у Венеції,3,2,2,0,4,"0,50","0,00","0,50","0,00","1,60","0,40",0,0
EUR-9,Вихідні у Празі + Дрезден,3,2,2,0,4,"0,50","0,00","0,50","0,00","1,60","0,40",0,0
EUR-10,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,4,2,3,1,4,"0,50","0,25","0,75","0,25","2,30","0,58",0,0
EUR-11,Вікенд у Трансильванії + Бухарест,5,2,1,3,4,"0,50","0,75","0,25","0,60","1,70","0,43",0,0
EUR-12,Італійські різдвяні ярмарки,3,3,1,0,5,"0,60","0,00","0,20","0,00","1,40","0,28",0,0
EUR-13,Канікули в Барселоні,9,4,5,3,8,"0,50","0,38","0,63","0,33","4,30","0,54",0,0
EUR-14,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,2,2,1,0,3,"0,67","0,00","0,33","0,00","1,10","0,37",0,0
EUR-15,Краків Закопане Морське Око БЕЗ НІЧНИХ,3,2,1,1,3,"0,67","0,33","0,33","0,33","1,30","0,43",0,0
EUR-16,Найкращі пляжі Європи,11,5,5,3,7,"0,71","0,43","0,71","0,27","4,60","0,66",1,0
EUR-17,Мілан — Комо — Альпи,8,4,2,4,6,"0,67","0,67","0,33","0,50","3,00","0,50",0,0
EUR-18,Морська Італія (7 ночей на Лідо-ді-Єзоло),7,3,1,3,10,"0,30","0,30","0,10","0,43","2,00","0,20",0,0
EUR-19,Новий рік у Кракові БЕЗ НІЧНИХ,2,2,1,0,3,"0,67","0,00","0,33","0,00","1,10","0,37",0,0
EUR-20,Новий рік у Мілані,3,3,1,0,5,"0,60","0,00","0,20","0,00","1,40","0,28",0,0
